cdCliente,cdProduto,cdVendedor,valor,dtVenda
171,1997,4,539,20/02/2020
151,1780,5,161,28/01/2020
129,1647,2,623,05/01/2020
148,1821,1,812,16/03/2020
162,1459,7,70,15/02/2020
150,1731,1,584,12/01/2020
171,1263,7,70,04/03/2020
193,1845,1,600,29/02/2020
128,1655,9,329,13/01/2020
200,1356,3,248,01/01/2020
163,1462,8,569,14/02/2020
155,1809,7,70,17/03/2020
127,1283,5,940,17/01/2020
108,1484,7,70,17/01/2020
166,1524,4,281,27/01/2020
103,1969,2,204,13/02/2020
158,1846,5,408,18/01/2020
192,1421,2,53,27/02/2020
147,1453,1,429,28/01/2020
190,1600,3,195,04/01/2020
119,1702,9,372,08/03/2020
165,1251,7,70,24/03/2020
174,1700,7,70,10/01/2020
134,1838,6,380,06/01/2020
199,1984,9,356,06/02/2020
147,1658,4,747,05/03/2020
119,1989,9,252,05/01/2020
162,1385,6,86,09/01/2020
153,1961,8,543,06/01/2020
115,1947,4,913,13/02/2020
130,1940,8,603,29/01/2020
104,1625,9,334,15/02/2020
164,1272,4,39,06/01/2020
152,1848,8,36,24/03/2020
187,1727,7,70,24/01/2020
183,1929,5,24,03/02/2020
125,1789,4,54,04/01/2020
118,1681,8,902,31/01/2020
148,1873,5,70,25/01/2020
177,1311,7,70,13/01/2020
138,1837,4,417,17/02/2020
145,1345,1,51,31/01/2020
182,1367,5,145,08/01/2020
127,1241,5,667,18/03/2020
194,1438,3,226,05/01/2020
174,1740,4,289,27/01/2020
129,1628,8,885,22/03/2020
168,1675,8,804,01/02/2020
172,1847,4,319,27/03/2020
182,1783,2,249,02/01/2020
193,1848,4,520,11/01/2020
185,1999,3,2,15/03/2020
163,1729,8,892,23/02/2020
120,1507,1,577,06/01/2020
148,1770,2,729,16/01/2020
197,1786,8,414,08/02/2020
139,1851,9,213,01/02/2020
108,1724,3,770,01/01/2020
197,1691,1,958,21/01/2020
143,1334,2,701,15/03/2020
147,1752,6,119,06/01/2020
116,1345,9,448,08/02/2020
187,1936,9,976,02/01/2020
176,1620,7,70,05/03/2020
179,1722,5,20,05/03/2020
136,1733,6,243,09/02/2020
173,1494,5,362,09/02/2020
180,1853,1,62,17/01/2020
167,1256,3,106,01/03/2020
131,1675,8,173,29/01/2020
168,1867,4,890,26/02/2020
121,1274,5,67,16/02/2020
153,1913,9,107,23/01/2020
197,1752,2,536,31/01/2020
184,1728,5,578,11/01/2020
191,1637,8,809,01/01/2020
148,1426,5,174,03/01/2020
134,1382,1,923,15/01/2020
187,1320,6,739,24/03/2020
146,1776,5,333,19/01/2020
189,1783,4,654,24/03/2020
163,1902,2,177,08/02/2020
139,1556,8,899,02/03/2020
159,1935,1,121,30/01/2020
135,1500,2,615,23/03/2020
195,1426,3,783,06/01/2020
147,1244,1,210,21/02/2020
149,1349,7,70,07/02/2020
121,1978,3,739,10/02/2020
102,1840,7,70,22/02/2020
104,1719,6,76,14/03/2020
152,1510,3,588,15/03/2020
159,1378,1,99,02/03/2020
193,1834,7,70,23/02/2020
153,1400,4,143,11/03/2020
140,1209,8,694,08/03/2020
156,1375,2,34,07/02/2020
109,1991,5,364,29/01/2020
196,1741,7,70,29/02/2020
136,1908,5,692,11/03/2020
150,1996,5,471,28/01/2020
147,1604,8,600,10/03/2020
126,1352,4,477,17/02/2020
159,1517,5,497,30/01/2020
172,1302,2,60,04/01/2020
196,1929,1,1000,20/01/2020
172,1709,6,509,03/01/2020
177,1513,7,70,20/01/2020
123,1814,1,826,04/03/2020
193,1831,6,692,15/02/2020
150,1909,1,214,29/02/2020
172,1738,9,249,10/02/2020
104,1573,4,113,07/02/2020
184,1491,6,162,19/01/2020
188,1464,7,70,23/03/2020
137,1558,7,70,24/03/2020
103,1507,8,588,14/01/2020
179,1889,6,110,18/03/2020
197,1746,9,178,19/03/2020
127,1723,9,324,21/02/2020
128,1944,4,83,25/01/2020
187,1586,1,241,12/03/2020
194,1647,8,57,20/01/2020
116,1751,3,285,17/02/2020
185,1402,4,661,26/01/2020
135,1562,5,871,12/01/2020
107,1512,9,287,26/03/2020
110,1850,3,84,07/03/2020
161,1609,9,684,27/03/2020
112,1517,5,220,07/03/2020
150,1305,2,219,08/01/2020
132,1803,8,570,18/02/2020
173,1735,4,748,08/03/2020
141,1749,7,70,13/03/2020
135,1324,4,485,02/02/2020
177,1719,4,523,05/01/2020
106,1254,4,279,29/01/2020
157,1312,9,459,21/03/2020
155,1915,1,564,08/03/2020
121,1402,3,754,07/02/2020
149,1915,4,745,09/01/2020
183,1869,3,772,14/02/2020
199,1569,6,929,08/01/2020
